Date,Adj Close,Open,High,Low,Close,Volume
2011-08-12,8378.8,8558.88,8558.88,8479.63,8558.88,972302
2011-08-15,8378.8,8558.88,8558.88,8400.38,8558.88,1301138
2011-08-16,8378.8,8479.63,8638.13,8479.63,8558.88,595643
2011-08-17,8456.38,8638.13,8638.13,8558.88,8638.13,802772
2011-08-18,8533.96,8875.88,8875.88,8638.13,8717.38,512927
2011-08-19,8378.8,8796.63,8796.63,8558.88,8558.88,411282
2011-08-22,8456.38,8558.88,8717.38,8558.88,8638.13,1019872
2011-08-23,8456.38,8558.88,8717.38,8558.88,8638.13,1078299
2011-08-24,8456.38,8638.13,8717.38,8558.88,8638.13,1049273
2011-08-25,8456.38,8796.63,8796.63,8558.88,8638.13,596085
2011-08-26,8533.96,8717.38,8717.38,8638.13,8717.38,889269
2011-08-29,8611.55,8875.88,8875.88,8638.13,8796.63,713183
2011-08-30,8689.13,8875.88,8875.88,8796.63,8875.88,1794335
2011-08-31,8611.55,8875.88,8875.88,8796.63,8796.63,3260725
2011-09-01,8689.13,8875.88,8955.13,8796.63,8875.88,1527763
2011-09-05,8689.13,8955.13,8955.13,8796.63,8875.88,1135399
2011-09-06,8689.13,8875.88,8875.88,8717.38,8875.88,1197987
2011-09-07,8611.55,8875.88,8875.88,8717.38,8796.63,1353445
2011-09-08,8689.13,8875.88,8955.13,8796.63,8875.88,1097040
2011-09-09,8533.96,8875.88,8875.88,8638.13,8717.38,1925495
2011-09-12,8301.22,8558.88,8638.13,8400.38,8479.63,1612688
2011-09-13,8146.06,8638.13,8638.13,8321.14,8321.14,5351416
2011-09-14,7835.73,8241.89,8241.89,8004.14,8004.14,3787045
2011-09-15,8223.64,8321.14,8400.38,8241.89,8400.38,7311002
2011-09-16,7990.89,8400.38,8796.63,8162.64,8162.64,8798907
2011-09-19,8378.8,8162.64,8558.88,8162.64,8558.88,2082413
2011-09-20,8223.64,8558.88,8638.13,8400.38,8400.38,3406092
2011-09-21,8301.22,8479.63,8558.88,8400.38,8479.63,3291519
2011-09-22,8301.22,8400.38,8558.88,8321.14,8479.63,1529348
2011-09-23,8146.06,8321.14,8400.38,8241.89,8321.14,987383
2011-09-26,7990.89,8241.89,8321.14,8162.64,8162.64,1850289
2011-09-27,7913.31,8162.64,8241.89,8083.39,8083.39,1874208
2011-09-28,7990.89,8162.64,8241.89,8083.39,8162.64,772363
2011-09-29,7990.89,8162.64,8241.89,8083.39,8162.64,1084542
2011-09-30,7990.89,8162.64,8241.89,8083.39,8162.64,1911306
2011-10-03,7913.31,8162.64,8162.64,8083.39,8083.39,1107447
2011-10-04,7913.31,7924.89,8083.39,7924.89,8083.39,1160575
2011-10-05,7835.73,8083.39,8083.39,7924.89,8004.14,3893293
2011-10-06,7758.15,7924.89,8004.14,7861.49,7924.89,3431389
2011-10-07,7680.57,7909.04,7909.04,7813.94,7845.64,2113011
2011-10-10,7602.99,7702.99,7782.24,7702.99,7766.39,1520639
